# Aspire.Dashboard.dll

Name: Aspire.Dashboard | Version: 13.4.0-dev | TFM: .NETCoreApp,Version=v8.0 | Arch: AnyCPU | Size: 3.7 MB | Source: File | Modified: 2026-06-27

## Performance Triage

| Member | Root Reach | Shape | Evidence | Fix | Confidence | Loop | IL |
| `Aspire.Dashboard.Components.Controls.ResourceDetails.GetRelationships()` | 2 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high | loop | `IL_008D` |
| `Aspire.Dashboard.Components.Dialogs.ManageDataDialog.GetSelectedResourcesAndDataTypes()` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_00BC` |
| `Aspire.Dashboard.Components.Pages.TraceDetail.GetVisibleSpanViewModels()` | 2 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high | loop | `IL_005B` |
| `Aspire.Dashboard.Model.TelemetryExportService.CreateResourceJson(Aspire.Dashboard.Model.ResourceViewModel, System.Collections.Generic.IReadOnlyList<Aspire.Dashboard.Model.ResourceViewModel>)` | 2 | allocation-hotspot | 26 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Model.TelemetryExportService.CreateResourceJson(Aspire.Dashboard.Model.ResourceViewModel, System.Collections.Generic.IReadOnlyList<Aspire.Dashboard.Model.ResourceViewModel>)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high | loop | `IL_004F` |
| `Aspire.Dashboard.Utils.FilterHelpers.GetFilterMenuItems(Aspire.Dashboard.Components.Pages.IPageWithSessionAndUrlState<TView, TR>, System.Collections.Generic.IReadOnlyList<Aspire.Dashboard.Model.Otlp.FieldTelemetryFilter>, System.Action, System.Func<Aspire.Dashboard.Model.Otlp.FieldTelemetryFilter, System.Threading.Tasks.Task>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.StructuredFiltering>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.Dialogs>, Aspire.Dashboard.Components.Layout.AspirePageContentLayout)` | 2 | allocation-hotspot | 17 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Utils.FilterHelpers.GetFilterMenuItems(Aspire.Dashboard.Components.Pages.IPageWithSessionAndUrlState<TView, TR>, System.Collections.Generic.IReadOnlyList<Aspire.Dashboard.Model.Otlp.FieldTelemetryFilter>, System.Action, System.Func<Aspire.Dashboard.Model.Otlp.FieldTelemetryFilter, System.Threading.Tasks.Task>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.StructuredFiltering>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.Dialogs>, Aspire.Dashboard.Components.Layout.AspirePageContentLayout)` | 2 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_0065` |
| `Aspire.Dashboard.Api.TelemetryApiService.GetLogs(string[], string, string, System.Nullable<int>, string)` | 1 | allocation-hotspot | 8 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Api.TelemetryApiService.GetSpans(string[], string, System.Nullable<bool>, System.Nullable<int>, string)` | 1 | allocation-hotspot | 10 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Api.TelemetryApiService.GetTraces(string[], System.Nullable<bool>, System.Nullable<int>, string)` | 1 | allocation-hotspot | 9 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Components.AssistantChat.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | allocation-hotspot | 33 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Components.AssistantChat.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_012A` |
| `Aspire.Dashboard.Components.AssistantChat.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | box-value-type | box Microsoft.AspNetCore.Components.EventCallback&lt;Microsoft.AspNetCore.Components.Web.MouseEventArgs&gt; | Boxing a value type allocates on the heap; use a generic API, string interpolation, or a value-typed overload to avoid it. | high | loop | `IL_0139` |
| `Aspire.Dashboard.Components.AssistantChat.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_0152` |
| `Aspire.Dashboard.Components.AssistantChat.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_064A` |
| `Aspire.Dashboard.Components.AssistantChat.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | box-value-type | box Microsoft.AspNetCore.Components.EventCallback&lt;Microsoft.AspNetCore.Components.Web.MouseEventArgs&gt; | Boxing a value type allocates on the heap; use a generic API, string interpolation, or a value-typed overload to avoid it. | high | loop | `IL_0659` |
| `Aspire.Dashboard.Components.AssistantChat.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_06B7` |
| `Aspire.Dashboard.Components.AssistantChat.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_072F` |
| `Aspire.Dashboard.Components.AssistantChat.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | box-value-type | box Microsoft.AspNetCore.Components.EventCallback&lt;Microsoft.AspNetCore.Components.Web.MouseEventArgs&gt; | Boxing a value type allocates on the heap; use a generic API, string interpolation, or a value-typed overload to avoid it. | high | loop | `IL_073E` |
| `Aspire.Dashboard.Components.AssistantChat.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_079C` |
| `Aspire.Dashboard.Components.AssistantChat.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_0814` |
| `Aspire.Dashboard.Components.AssistantChat.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | box-value-type | box Microsoft.AspNetCore.Components.EventCallback&lt;Microsoft.AspNetCore.Components.Web.MouseEventArgs&gt; | Boxing a value type allocates on the heap; use a generic API, string interpolation, or a value-typed overload to avoid it. | high | loop | `IL_0823` |
| `Aspire.Dashboard.Components.AssistantChat.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_099D` |
| `Aspire.Dashboard.Components.AssistantChat.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | box-value-type | box Microsoft.AspNetCore.Components.EventCallback&lt;Microsoft.AspNetCore.Components.Web.MouseEventArgs&gt; | Boxing a value type allocates on the heap; use a generic API, string interpolation, or a value-typed overload to avoid it. | high | loop | `IL_09AC` |
| `Aspire.Dashboard.Components.AssistantChat.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_09C6` |
| `Aspire.Dashboard.Components.ChartContainer.CreateUpdatedFilters(bool)` | 1 | allocation-hotspot | 9 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Components.ChartContainer.CreateUpdatedFilters(bool)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high | loop | `IL_0076` |
| `Aspire.Dashboard.Components.ChartContainer.CreateUpdatedFilters(bool)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_015F` |
| `Aspire.Dashboard.Components.ChartContainer.CreateUpdatedFilters(bool)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high | loop | `IL_01A5` |
| `Aspire.Dashboard.Components.Controls.Chart.ChartBase.CalculateChartValues(System.Collections.Generic.List<Aspire.Dashboard.Otlp.Model.MetricValues.DimensionScope>, int, bool, System.DateTimeOffset, string)` | 1 | allocation-hotspot | 8 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Components.Controls.Chart.ChartBase.CalculateHistogramValues(System.Collections.Generic.List<Aspire.Dashboard.Otlp.Model.MetricValues.DimensionScope>, int, bool, System.DateTimeOffset, string)` | 1 | allocation-hotspot | 18 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Components.Controls.MetricTable.UpdateMetrics(ref System.Collections.Generic.ISet<System.DateTimeOffset>, System.Collections.Generic.List<Aspire.Dashboard.Components.Controls.Chart.ChartTrace>, System.Collections.Generic.List<System.DateTimeOffset>, System.Collections.Generic.List<Aspire.Dashboard.Components.Controls.Chart.ChartExemplar>)` | 1 | allocation-hotspot | 17 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Components.Controls.MetricTable.UpdateMetrics(ref System.Collections.Generic.ISet<System.DateTimeOffset>, System.Collections.Generic.List<Aspire.Dashboard.Components.Controls.Chart.ChartTrace>, System.Collections.Generic.List<System.DateTimeOffset>, System.Collections.Generic.List<Aspire.Dashboard.Components.Controls.Chart.ChartExemplar>)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_005E` |
| `Aspire.Dashboard.Components.Controls.MetricTable.UpdateMetrics(ref System.Collections.Generic.ISet<System.DateTimeOffset>, System.Collections.Generic.List<Aspire.Dashboard.Components.Controls.Chart.ChartTrace>, System.Collections.Generic.List<System.DateTimeOffset>, System.Collections.Generic.List<Aspire.Dashboard.Components.Controls.Chart.ChartExemplar>)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_00E0` |
| `Aspire.Dashboard.Components.Controls.MetricTable.UpdateMetrics(ref System.Collections.Generic.ISet<System.DateTimeOffset>, System.Collections.Generic.List<Aspire.Dashboard.Components.Controls.Chart.ChartTrace>, System.Collections.Generic.List<System.DateTimeOffset>, System.Collections.Generic.List<Aspire.Dashboard.Components.Controls.Chart.ChartExemplar>)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high | loop | `IL_00FD` |
| `Aspire.Dashboard.Components.Controls.MetricTable.UpdateMetrics(ref System.Collections.Generic.ISet<System.DateTimeOffset>, System.Collections.Generic.List<Aspire.Dashboard.Components.Controls.Chart.ChartTrace>, System.Collections.Generic.List<System.DateTimeOffset>, System.Collections.Generic.List<Aspire.Dashboard.Components.Controls.Chart.ChartExemplar>)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high | loop | `IL_032F` |
| `Aspire.Dashboard.Components.Controls.ResourceDetails.OnParametersSet()` | 1 | allocation-hotspot | 10 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Components.Pages.ConsoleLogs.OnPausedChanged(bool)` | 1 | allocation-hotspot | 12 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Components.Pages.ConsoleLogs.OnPausedChanged(bool)` | 1 | box-value-type | box System.DateTime | Boxing a value type allocates on the heap; use a generic API, string interpolation, or a value-typed overload to avoid it. | high | loop | `IL_0097` |
| `Aspire.Dashboard.Components.Pages.ConsoleLogs.OnPausedChanged(bool)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_0157` |
| `Aspire.Dashboard.Components.Pages.ConsoleLogs.OnPausedChanged(bool)` | 1 | box-value-type | box System.DateTime | Boxing a value type allocates on the heap; use a generic API, string interpolation, or a value-typed overload to avoid it. | high | loop | `IL_01A0` |
| `Aspire.Dashboard.Components.Pages.ConsoleLogs.OnPausedChanged(bool)` | 1 | box-value-type | box System.DateTime | Boxing a value type allocates on the heap; use a generic API, string interpolation, or a value-typed overload to avoid it. | high | loop | `IL_01A9` |
| `Aspire.Dashboard.Components.Pages.TraceDetail.OnInitialized()` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high | loop | `IL_00CC` |
| `Aspire.Dashboard.Components.PlotlyChart.CalculateExemplarsTrace(System.Collections.Generic.List<System.DateTimeOffset>, System.Collections.Generic.List<Aspire.Dashboard.Components.Controls.Chart.ChartExemplar>)` | 1 | allocation-hotspot | 16 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Components.PlotlyChart.CalculateExemplarsTrace(System.Collections.Generic.List<System.DateTimeOffset>, System.Collections.Generic.List<Aspire.Dashboard.Components.Controls.Chart.ChartExemplar>)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high | loop | `IL_006D` |
| `Aspire.Dashboard.Components.ResourceActions.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | allocation-hotspot | 15 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Components.ResourceActions.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_00B9` |
| `Aspire.Dashboard.Components.ResourceActions.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | box-value-type | box Microsoft.AspNetCore.Components.EventCallback&lt;Microsoft.AspNetCore.Components.Web.MouseEventArgs&gt; | Boxing a value type allocates on the heap; use a generic API, string interpolation, or a value-typed overload to avoid it. | high | loop | `IL_00C8` |
| `Aspire.Dashboard.Components.ResourceActions.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | box-value-type | box bool | Boxing a value type allocates on the heap; use a generic API, string interpolation, or a value-typed overload to avoid it. | high | loop | `IL_0106` |
| `Aspire.Dashboard.Components.ResourceActions.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_011E` |
| `Aspire.Dashboard.DashboardWebApplication.ConfigureKestrelEndpoints(Microsoft.AspNetCore.Builder.WebApplicationBuilder, Aspire.Dashboard.Configuration.DashboardOptions)` | 1 | allocation-hotspot | 12 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.DashboardWebApplication.ConfigureKestrelEndpoints(Microsoft.AspNetCore.Builder.WebApplicationBuilder, Aspire.Dashboard.Configuration.DashboardOptions)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_0191` |
| `Aspire.Dashboard.Model.Assistant.Markdown.AspireEnrichmentParser.TryInsertSpanLink(Markdig.Parsers.InlineProcessor, string)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_0047` |
| `Aspire.Dashboard.Model.ResourceGraph.ResourceGraphMapper.MapResource(Aspire.Dashboard.Model.ResourceViewModel, System.Collections.Generic.IDictionary<string, Aspire.Dashboard.Model.ResourceViewModel>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.Columns>, bool, Aspire.Dashboard.Model.IconResolver)` | 1 | allocation-hotspot | 11 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Model.ResourceGraph.ResourceGraphMapper.MapResource(Aspire.Dashboard.Model.ResourceViewModel, System.Collections.Generic.IDictionary<string, Aspire.Dashboard.Model.ResourceViewModel>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.Columns>, bool, Aspire.Dashboard.Model.IconResolver)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high | loop | `IL_0090` |
| `Aspire.Dashboard.Model.ResourceGraph.ResourceGraphMapper.MapResource(Aspire.Dashboard.Model.ResourceViewModel, System.Collections.Generic.IDictionary<string, Aspire.Dashboard.Model.ResourceViewModel>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.Columns>, bool, Aspire.Dashboard.Model.IconResolver)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high | loop | `IL_00AC` |
| `Aspire.Dashboard.Otlp.Storage.TelemetryRepository..ctor(Microsoft.Extensions.Logging.ILoggerFactory, Microsoft.Extensions.Options.IOptions<Aspire.Dashboard.Configuration.DashboardOptions>, Aspire.Dashboard.Model.PauseManager, System.Collections.Generic.IEnumerable<Aspire.Dashboard.Model.IOutgoingPeerResolver>)` | 1 | allocation-hotspot | 21 heap allocations (newobj/newarr/box) | Many allocations in one method are often reducible: pool or cache reused objects, use spans/stackalloc for transient buffers, and avoid intermediate collections on hot paths. | high | loop |  |
| `Aspire.Dashboard.Otlp.Storage.TelemetryRepository..ctor(Microsoft.Extensions.Logging.ILoggerFactory, Microsoft.Extensions.Options.IOptions<Aspire.Dashboard.Configuration.DashboardOptions>, Aspire.Dashboard.Model.PauseManager, System.Collections.Generic.IEnumerable<Aspire.Dashboard.Model.IOutgoingPeerResolver>)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high | loop | `IL_0186` |
| `Aspire.Dashboard.Otlp.Model.OtlpHelpers.CopyKeyValues(Google.Protobuf.Collections.RepeatedField<OpenTelemetry.Proto.Common.V1.KeyValue>, System.Collections.Generic.KeyValuePair<string, string>[], int, Aspire.Dashboard.Otlp.Model.OtlpContext, ref int)` | 5 | small-array | newarr with small constant length (1) | If the array does not escape, a span or stackalloc may avoid the allocation. | medium | loop | `IL_0084` |
| `Aspire.Dashboard.Otlp.Model.OtlpHelpers.ToKeyValuePairs(Google.Protobuf.Collections.RepeatedField<OpenTelemetry.Proto.Common.V1.KeyValue>, Aspire.Dashboard.Otlp.Model.OtlpContext, System.Func<OpenTelemetry.Proto.Common.V1.KeyValue, bool>)` | 5 | small-array | newarr with small constant length (1) | If the array does not escape, a span or stackalloc may avoid the allocation. | medium | loop | `IL_00A2` |
| `Aspire.Dashboard.Model.GenAI.GenAIVisualizerDialogViewModel.ParseMessages(Aspire.Dashboard.Model.GenAI.GenAIVisualizerDialogViewModel, string, bool, ref int)` | 3 | linq-scan-in-loop | Enumerable.All(...) inside a loop | Linear LINQ scan per iteration; precompute a set/dictionary index (or hoist the result) once outside the loop. | medium | loop | `IL_00E4` |
| `Aspire.Dashboard.Otlp.Model.OtlpResource.AddMetrics(Aspire.Dashboard.Otlp.Model.AddContext, Google.Protobuf.Collections.RepeatedField<OpenTelemetry.Proto.Metrics.V1.ScopeMetrics>)` | 3 | small-array | newarr with small constant length (2) | If the array does not escape, a span or stackalloc may avoid the allocation. | medium | loop | `IL_0137` |
